name,population
Antigua and Barbuda,"86,754"
Antarctica,0
Anguilla,"13,254"
Angola,"13,068,161"
Andorra,"84,000"
American Samoa,"57,881"
Algeria,"34,586,184"
Albania,"2,986,952"
Aland Islands,"26,711"
Afghanistan,"29,121,286"
Barbados,"285,653"
Bangladesh,"156,118,464"
Bahrain,"738,004"
Bahamas,"301,790"
Azerbaijan,"8,303,512"
Austria,"8,205,000"
Australia,"21,515,754"
Aruba,"71,566"
Armenia,"2,968,000"
Argentina,"41,343,201"
Botswana,"2,029,307"
Bosnia and Herzegovina,"4,590,000"
"Bonaire, Saint Eustatius and Saba","18,012"
Bolivia,"9,947,418"
Bhutan,"699,847"
Bermuda,"65,365"
Benin,"9,056,010"
Belize,"314,522"
Belgium,"10,403,000"
Belarus,"9,685,000"
Cameroon,"19,294,149"
Cambodia,"14,453,680"
Burundi,"9,863,117"
Burkina Faso,"16,241,811"
Bulgaria,"7,148,785"
Brunei,"395,027"
British Virgin Islands,"21,730"
British Indian Ocean Territory,"4,000"
Brazil,"201,103,330"
Bouvet Island,0
Colombia,"44,205,293"
Cocos Islands,628
Christmas Island,"1,500"
China,"1,330,044,000"
Chile,"16,746,491"
Chad,"10,543,464"
Central African Republic,"4,844,927"
Cayman Islands,"44,270"
Cape Verde,"508,659"
Canada,"33,679,000"
Denmark,"5,484,000"
Democratic Republic of the Congo,"70,916,439"
Czech Republic,"10,476,000"
Cyprus,"1,102,677"
Curacao,"141,766"
Cuba,"11,423,000"
Croatia,"4,491,000"
Costa Rica,"4,516,220"
Cook Islands,"21,388"
Comoros,"773,407"
Ecuador,"14,790,608"
East Timor,"1,154,625"
Dominican Republic,"9,823,821"
Dominica,"72,813"
Djibouti,"740,528"
Estonia,"1,291,170"
Eritrea,"5,792,984"
Equatorial Guinea,"1,014,999"
El Salvador,"6,052,064"
Egypt,"80,471,869"
Gabon,"1,545,255"
French Southern Territories,140
French Polynesia,"270,485"
French Guiana,"195,506"
France,"64,768,389"
Finland,"5,244,000"
Fiji,"875,983"
Faroe Islands,"48,228"
Falkland Islands,"2,638"
Ethiopia,"88,013,491"
Guam,"159,358"
Guadeloupe,"443,000"
Grenada,"107,818"
Greenland,"56,375"
Greece,"11,000,000"
Gibraltar,"27,884"
Ghana,"24,339,838"
Germany,"81,802,257"
Georgia,"4,630,000"
Gambia,"1,593,256"
Hungary,"9,982,000"
Hong Kong,"6,898,686"
Honduras,"7,989,415"
Heard Island and McDonald Islands,0
Haiti,"9,648,924"
Guyana,"748,486"
Guinea-Bissau,"1,565,126"
Guinea,"10,324,025"
Guernsey,"65,228"
Guatemala,"13,550,440"
Ivory Coast,"21,058,798"
Italy,"60,340,328"
Israel,"7,353,985"
Isle of Man,"75,049"
Ireland,"4,622,917"
Iraq,"29,671,605"
Iran,"76,923,300"
Indonesia,"242,968,342"
India,"1,173,108,018"
Iceland,"308,910"
Kyrgyzstan,"5,508,626"
Kuwait,"2,789,132"
Kosovo,"1,800,000"
Kiribati,"92,533"
Kenya,"40,046,566"
Kazakhstan,"15,340,000"
Jordan,"6,407,085"
Jersey,"90,812"
Japan,"127,288,000"
Jamaica,"2,847,232"
Macao,"449,198"
Luxembourg,"497,538"
Lithuania,"3,565,000"
Liechtenstein,"35,000"
Libya,"6,461,454"
Liberia,"3,685,076"
Lesotho,"1,919,552"
Lebanon,"4,125,247"
Latvia,"2,217,969"
Laos,"6,368,162"
Mauritania,"3,205,060"
Martinique,"432,900"
Marshall Islands,"65,859"
Malta,"403,000"
Mali,"13,796,354"
Maldives,"395,650"
Malaysia,"28,274,729"
Malawi,"15,447,500"
Madagascar,"21,281,844"
Macedonia,"2,062,294"
Morocco,"31,627,428"
Montserrat,"9,341"
Montenegro,"666,730"
Mongolia,"3,086,918"
Monaco,"32,965"
Moldova,"4,324,000"
Micronesia,"107,708"
Mexico,"112,468,855"
Mayotte,"159,042"
Mauritius,"1,294,104"
Mozambique,"22,061,451"
New Zealand,"4,252,277"
New Caledonia,"216,494"
Netherlands Antilles,"136,197"
Netherlands,"16,645,000"
Nepal,"28,951,852"
Nauru,"10,065"
Namibia,"2,128,471"
Myanmar,"53,414,374"
Nicaragua,"5,995,928"
Palau,"19,907"
Pakistan,"184,404,791"
Oman,"2,967,717"
Norway,"5,009,150"
Northern Mariana Islands,"53,883"
North Korea,"22,912,177"
Norfolk Island,"1,828"
Niue,"2,166"
Nigeria,"154,000,000"
Niger,"15,878,271"
Puerto Rico,"3,916,632"
Portugal,"10,676,000"
Poland,"38,500,000"
Pitcairn,46
Philippines,"99,900,177"
Peru,"29,907,003"
Paraguay,"6,375,830"
Papua New Guinea,"6,064,515"
Panama,"3,410,676"
Palestinian Territory,"3,800,000"
Saint Lucia,"160,922"
Saint Kitts and Nevis,"51,134"
Saint Helena,"7,460"
Saint Barthelemy,"8,450"
Rwanda,"11,055,976"
Russia,"140,702,000"
Romania,"21,959,278"
Reunion,"776,948"
Republic of the Congo,"3,039,126"
Qatar,"840,926"
Serbia and Montenegro,"10,829,175"
Serbia,"7,344,847"
Senegal,"12,323,252"
Saudi Arabia,"25,731,776"
Sao Tome and Principe,"175,808"
San Marino,"31,477"
Samoa,"192,001"
Saint Vincent and the Grenadines,"104,217"
Saint Pierre and Miquelon,"7,012"
Saint Martin,"35,925"
South Georgia and the South Sandwich Islands,30
South Africa,"49,000,000"
Somalia,"10,112,453"
Solomon Islands,"559,198"
Slovenia,"2,007,000"
Slovakia,"5,455,000"
Sint Maarten,"37,429"
Singapore,"4,701,069"
Sierra Leone,"5,245,695"
Seychelles,"88,340"
South Korea,"48,422,644"
Switzerland,"7,581,000"
Sweden,"9,555,893"
Swaziland,"1,354,051"
Svalbard and Jan Mayen,"2,550"
Suriname,"492,829"
Sudan,"35,000,000"
Sri Lanka,"21,513,990"
Spain,"46,505,963"
South Sudan,"8,260,490"
Tonga,"122,580"
Tokelau,"1,466"
Togo,"6,587,239"
Thailand,"67,089,500"
Tanzania,"41,892,895"
Tajikistan,"7,487,489"
Taiwan,"22,894,384"
Tunisia,"10,589,025"
Trinidad and Tobago,"1,228,691"
Syria,"22,198,110"
United States,"310,232,863"
United Kingdom,"62,348,447"
United Arab Emirates,"4,975,593"
Ukraine,"45,415,596"
Uganda,"33,398,682"
U.S. Virgin Islands,"108,708"
Tuvalu,"10,472"
Turks and Caicos Islands,"20,556"
Turkmenistan,"4,940,916"
Turkey,"77,804,122"
Yemen,"23,495,361"
Western Sahara,"273,008"
Wallis and Futuna,"16,025"
Vietnam,"89,571,130"
Venezuela,"27,223,228"
Vatican,921
Vanuatu,"221,552"
Uzbekistan,"27,865,738"
Uruguay,"3,477,000"
United States Minor Outlying Islands,0
Zimbabwe,"11,651,858"
Zambia,"13,460,305"
